date,number
8/19/2014,2943861
8/20/2014,2946053
8/21/2014,2950183
8/22/2014,2958104
8/24/2014,2958155
8/25/2014,2960405
8/26/2014,2960699
8/27/2014,2962547
8/28/2014,2964954
8/29/2014,2965880
8/31/2014,2965999
9/1/2014,2966043
9/2/2014,2973313
9/3/2014,2974740
9/4/2014,2974970
9/7/2014,2979329
9/8/2014,2979739
9/9/2014,2979583
9/10/2014,2979359
9/11/2014,2989728
9/14/2014,2993493
9/15/2014,2995717
9/16/2014,2995752
9/17/2014,2998621
9/18/2014,3002222
9/19/2014,3003660
9/21/2014,3003679
9/22/2014,3004948
9/23/2014,3005956
9/24/2014,3007158
9/25/2014,3008322
9/26/2014,3009021
9/28/2014,3009073
9/29/2014,3026773
9/30/2014,3007442
10/1/2014,3008347
10/2/2014,3023941
10/3/2014,3024565
10/7/2014,3025265
10/8/2014,3026101
10/9/2014,3019412
10/11/2014,3018873
10/12/2014,3018945
10/13/2014,3019729
10/14/2014,3020357
10/15/2014,3022710
10/16/2014,3022388
10/17/2014,3020883
10/20/2014,3019252
10/21/2014,3024318
10/22/2014,3025181
10/27/2014,3025298
10/28/2014,3024456
10/30/2014,3023819
10/31/2014,3093138
11/2/2014,3092964
11/3/2014,3094035
11/4/2014,3094700
11/5/2014,3095222
11/6/2014,3095756
11/7/2014,3096529
11/9/2014,3096646
11/10/2014,3096672
11/11/2014,3097983
11/12/2014,3098664
11/13/2014,3100144
11/14/2014,3101350
11/15/2014,3104945
11/17/2014,3105742
11/18/2014,3106459
11/19/2014,3106526
11/20/2014,3106721
11/21/2014,3108381
11/23/2014,3108624
11/25/2014,3107304
11/26/2014,3104819
11/27/2014,3105576
11/28/2014,3105878
11/30/2014,3203910
12/1/2014,3203754
12/2/2014,3201195
12/3/2014,3201486
12/4/2014,3202055
12/5/2014,3203356
12/7/2014,3205182
12/8/2014,3205438
12/9/2014,3205700
12/10/2014,3206384
12/11/2014,3206723
12/12/2014,3206574
12/15/2014,3210897
12/16/2014,3211480
12/17/2014,3212602
12/18/2014,3214466
12/21/2014,3214466
12/22/2014,3216677
12/23/2014,3217906
