"DATE","LAT","LONG","HUMANNAME","COUNT","GOLDSTEIN","SAMPLEURL","TITLE"
"20151013","36.2028","37.1586","Aleppo, ?alab, Syria","72","-9.365277777777777","http://www.jpost.com/Breaking-News/Iran-holds-public-funeral-for-commander-killed-in-Syria-427506","Iran holds public funeral for commander killed in Syria - Breaking News - Jerusalem Post"
"20131011","33.5","36.3","Damascus, Dimashq, Syria","72","-9.31666666666667","http://union-bulletin.com/news/2013/oct/11/report-syrian-rebels-committed-war-crimes/","Report: Syrian rebels committed war crimes | Walla Walla Union-Bulletin"
"20151119","35.95","39.0167","Raqqah, Ar Raqqah, Syria","72","-9.319444444444445","http://freerepublic.com/focus/f-chat/3362890/posts","The Backfire Bomber Is Russia’s ‘Carrier Killer’","none"
"20150522","34.5608","38.2805","Palmyra, ?ims, Syria","72","-8.609722222222224","http://www.arkansasonline.com/news/2015/may/22/militants-seize-roman-era-ruins-2015052/","Militants seize Roman-era ruins"
"20131031","33.5","36.3","Damascus, Dimashq, Syria","72","-8.963888888888889","http://www.neurope.eu/article/opcw-syria-destroyed-all-its-chemical-weapons-facilities","OPCW: Syria destroyed all its chemical weapons facilities"
"20150119","32.9049","35.8072","Golan Heights, Syria (general), Syria","71","-9.435211267605634","http://www.euronews.com/2015/01/19/funeral-held-for-hezbollah-fighter-killed-in-alleged-israeli-attack-in-golan-/","Funeral held for Hezbollah fighter killed in alleged Israeli attack in Golan Heights | euronews, world news"
"20151007","35.9306","36.6339","Idlib, Idlib, Syria","71","-9.512676056338028","http://journalgazette.net/news/world/Russia-fires-cruise-missiles-from-warships-into-Syria-9236391","Russia fires cruise missiles from warships into Syria | World | www.journalgazette.net"
"20131001","33.5","36.3","Damascus, Dimashq, Syria","71","-8.932394366197183","http://www.wpsdlocal6.com/internal?st=print&id=225947841&path=/news/national-and-world&c=h87X44NsfBQWssf1bbKo45D5HGdll5tA5mPXd9ZcqrI&mkt=en-us","none"
"20131218","36.2028","37.1586","Aleppo, ?alab, Syria","71","-8.274647887323944","http://news.sky.com/story/1184192/syria-did-uk-govt-do-enough-to-save-doctor","Syria: Did UK Govt Do Enough To Save Doctor?"
"20150823","33.5","36.3","Damascus, Dimashq, Syria","71","-7.8084507042253515","http://kurdwatch.org/?cid=232&z=en","KurdWatch.org reports human-rights violations against Kurds in Syria"
"20150821","32.9049","35.8072","Golan Heights, Syria (general), Syria","71","-9.932394366197183","http://www.tdm.com/Top-News/World-News/2015/08/20/Israel-Syria-trade-rocket-fire-Israel-blames-Islamic-Jihad/4941440109903/","Israel, Syria trade rocket fire; Israel blames Islamic Jihad - TDM.com"
"20140203","36.2028","37.1586","Aleppo, ?alab, Syria","70","-9.474285714285715","http://english.farsnews.com/newstext.aspx?nn=13921114001490","Farsnews"
"20150901","33.5","36.3","Damascus, Dimashq, Syria","70","-8.667142857142858","http://foreignpolicy.com/2015/09/01/situation-report-secdef-kicks-off-effort-to-sell-new-personnel-and-pay-plan-air-force-in-trouble-with-congress-more-drones-and-jets-to-eastern-europe-taliban-leader-sends-along-his-resume-and-lot/","Situation Report: SecDef kicks off effort to sell new personnel and pay plan; Air Force in trouble with Congress; more drones and jets to Eastern Europe; Taliban leader sends along his resume; and lots more | Foreign Policy"
"20140830","32.9049","35.8072","Golan Heights, Syria (general), Syria","70","-9.195714285714287","http://article.wn.com/view/2014/08/30/UN_peacekeepers_in_firefight_with_Syrian_rebels_e/","UN peacekeepers in firefight with Syrian rebels - Worldnews.com"
"20150531","36.2028","37.1586","Aleppo, ?alab, Syria","70","-9.285714285714286","http://www.themalaysianinsider.com/world/article/isis-destroys-infamous-syria-prison-as-regime-bombing-kills-scores","Isis destroys infamous Syria prison as regime bombing kills scores - The Malaysian Insider"
"20140828","33.1259","35.8246","Quneitra, Al Qunaytirah, Syria","70","-9.021428571428572","http://www.stljewishlight.com/news/world/article_a6d1915f-6c0b-5950-87e4-58b22ec0f11a.html","43 UN peacekeepers kidnapped on Israel-Syria border - St. Louis Jewish Light: National And World News - 43 UN peacekeepers kidnapped on Israel-Syria border: National And World News"
